job_id,title,company,added_at,source,job_category,date
linkedin_4414172583,Research Analyst - TAY Cohort,CAMH,2026-05-14T20:33:17.174960,LinkedIn,Analyst / BA / SA,2026-05-14
linkedin_4414170853,Clerical Support Associate Birthing Unit,Humber River Health,2026-05-14T20:33:17.175298,LinkedIn,Admin / Clerical,2026-05-14
linkedin_4414136863,Surveillance Assistant-IPAC (Full Time),Trillium Health Partners,2026-05-14T20:33:17.175652,LinkedIn,Other,2026-05-14
linkedin_4414116892,"Clinical Research Assistant (temporary, 18 months)",Canada's Drug Agency,2026-05-14T20:33:17.176008,LinkedIn,Clinical / Nursing,2026-05-14
linkedin_4414274881,Project Coordinator,Critical Mass,2026-05-14T20:33:17.176482,LinkedIn,Other,2026-05-14
linkedin_4414236794,Compensation Specialist,Net2Source (N2S),2026-05-14T20:33:17.176973,LinkedIn,Other,2026-05-14
greenhouse_d2l_7875286,Strategic Finance Business Partner – Product & Engineering,D2L (Brightspace),2026-05-14T20:33:17.177400,Greenhouse,Software / Tech,2026-05-14
linkedin_4411768868,"Junior Developer (Intern), Analytics &amp; Insights",University Health Network,2026-05-15T20:41:02.499067,LinkedIn,Co-op / Intern,2026-05-15
linkedin_4414916629,Software Developer,AGILEFREE,2026-05-15T20:41:02.508444,LinkedIn,Software / Tech,2026-05-15
linkedin_4382814210,"Software Engineer (Backend, Fullstack, Frontend/Web Developer) - Global Ecommerce Marketplace",Andiamo,2026-05-15T20:41:02.512907,LinkedIn,Software / Tech,2026-05-15
linkedin_4414772906,Junior Power Platform Developer,Intact,2026-05-15T20:41:02.519074,LinkedIn,Software / Tech,2026-05-15
linkedin_4414665935,Software Engineer: Full-Stack (Multiple Positions Available),Fiscal AI,2026-05-15T20:41:02.522502,LinkedIn,Software / Tech,2026-05-15
linkedin_4414954140,Associate Engineer I,TD,2026-05-15T20:41:02.524113,LinkedIn,Software / Tech,2026-05-15
linkedin_4414918866,"Co-op or Intern, Full-Stack Developer (September 2026)",BDO Canada,2026-05-15T20:41:02.525231,LinkedIn,Co-op / Intern,2026-05-15
linkedin_4414959241,Software Engineer,InstaLILY AI,2026-05-15T20:41:02.528254,LinkedIn,Software / Tech,2026-05-15
linkedin_4372567878,Research Engineer,Cohere,2026-05-15T20:41:02.529439,LinkedIn,Software / Tech,2026-05-15
linkedin_4414769210,Product Engineering,Allstate Canada,2026-05-15T20:41:02.530439,LinkedIn,Software / Tech,2026-05-15
linkedin_4414708691,QA Developer,Dentalcorp,2026-05-15T20:41:02.531695,LinkedIn,Software / Tech,2026-05-15
linkedin_4414676012,Associate Software Engineer,FDM Group,2026-05-15T20:41:02.532614,LinkedIn,Software / Tech,2026-05-15
linkedin_4415339396,Remote Software Developer,Turing,2026-05-15T20:41:02.533550,LinkedIn,Software / Tech,2026-05-15
linkedin_4414999077,Software Engineer - YAML Experience,Alignerr,2026-05-15T20:41:02.534443,LinkedIn,Software / Tech,2026-05-15
linkedin_4414999058,Health Informatics Analyst,Alignerr,2026-05-15T20:41:02.541226,LinkedIn,Health Informatics,2026-05-15
linkedin_4414760169,Data Analyst,President's Choice Financial,2026-05-15T20:41:02.542950,LinkedIn,Data / Analytics,2026-05-15
